dataset	nLoci	length_avg	length_std	GCtot_avg	GCtot_std	GC12_avg	GC12_std	GC3_avg	GC3_std	r_expression_ENc	r_expression_ENcP	r_nReads_ENc	r_nReads_ENcP	focal	indiv	Fit	FitWC	piS	piN	piNpiS	Fit_d	Fit_u	FitWC_d	FitWC_u	piS_d	piS_u	piN_d	piN_u	piNpiS_d	piNpiS_u	Dtaj_ns	Dtaj_s	spid	spTrue	longevity	gestation	size	bodymass	juvenileSize	juvenileMass	ratioJuv	ratioJuvMass	ratioJuvSize	ratioJuvTime	ovosize	spermsize	dispersal	larvalDispersal	sociality	density	diet	sex	speed	kmh	fecundation	parentalCare	fecundity	fecundityPerDay	biogeography	Environment	invasive	genome.size	vertebrate	genus	subfamily	family	superfamily	suborder	order	class	superclass	phylum	custom	juvSize
Echinocardium_mediterraneum	20479	697.11758	687.8524	0.5022	0.04865	0.46922	0.0477	0.56818	0.11444	-0.17179	-0.15262	-0.17375	-0.15175	Echinocardium_mediterraneum	7	-0.079221	0.00932114	0.0210419	0.00215052	0.102202	-0.085728	-0.07241	0.002482	0.016118	0.020576	0.021509	0.002072	0.002227	0.098088	0.106356	-1.10891	-0.526322	Echinocardium_mediterraneum	Echinocardium_mediterraneum	10	NA	4.5	38	0.0075	2.2078125e-07	4.62963e-09	5.810033e-09	0.001666666666667	NA	NA	NA	NA	NA	NA	NA	detri	gonochoric	slow	2.0833333333e-05	ext	NA	1000000	2739.72602739726	NA	marine	0	NA	invertebrate	Echinocardium	NA	Loveniidae	NA	NA	Spatangoida	Echinoidea	Echinozoa	Echinodermata	Echinodermata	0.0075000000000015
Emys_orbicularis	4041	500.96882	347.50192	0.48174	0.06797	0.46602	0.05698	0.5132	0.14362	-0.05456	-0.1244	-0.07436	-0.14331	Emys_orbicularis	10	0.261504	0.344851	0.00411023	0.000553684	0.134709	0.234218	0.288965	0.318224	0.371674	0.003806	0.004434	0.000491	0.000617	0.117371	0.15315	-0.691663	-0.00248166	Emys_orbicularis	Emys_orbicularis	120	95	25	977	2	9	0.000512	0.00921187308086	0.08	NA	NA	NA	NA	NA	NA	NA	carni	gonochoric	fast	0.3	int	NA	16	0.087671232876712	palearctic	terrestrial	0	2.6	vertebrate	Emys	NA	Emydidae	Testudinoidea	Cryptodira	Testudines	NA	Gnathostomata	Chordata	Chordata	2
Eunicella_cavolinii	18819	364.26447	275.78218	0.41657	0.04074	0.43895	0.05163	0.3718	0.07436	-0.13835	-0.11349	-0.14211	-0.12183	Eunicella_cavolinii	8	0.240755	0.304238	0.01249	0.00160645	0.128618	0.229196	0.252269	0.29402	0.31465	0.01217	0.01282	0.001537	0.001678	0.12232	0.135242	-0.884224	-0.718562	Eunicella_cavolinii	Eunicella_cavolinii	100	NA	30	NA	0.25	NA	3.5126422e-08	NA	0.008333333333333	NA	NA	NA	NA	NA	NA	NA	herbi	hermaphrodite	fix	0	int	NA	12093.2	33.1320547945206	NA	marine	0	NA	invertebrate	Eunicella	NA	Gorgoniidae	NA	Holaxonia	Alcyonacea	Anthozoa	NA	Cnidaria	Cnidaria	0.24999999999999
Halictus_scabiosae	5454	684.06436	521.34476	0.42723	0.06402	0.42972	0.05056	0.42225	0.13977	-0.01787	-0.10905	0.01043	-0.1325	Halictus_scabiosae	11	-0.0349215	0.0275652	0.00211062	0.000260425	0.123388	-0.050379	-0.018858	0.002605	0.052536	0.001952	0.002267	0.000231	0.000291	0.108795	0.139135	-0.337172	0.0381206	Halictus_scabiosae	Halictus_scabiosae	1	NA	1.5	0.0930228	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	herbi	gonochoric	fast	32.19	int	NA	11	NA	NA	terrestrial	0	NA	invertebrate	Halictus	Halictinae	Halictidae	Apoidea	Aculeata	Hymenoptera	Insecta	Hexapoda	Arthropoda	Arthropoda	1.5
Hippocampus_guttulatus	20109	882.39922	931.69737	0.54028	0.05651	0.4861	0.05139	0.64865	0.12198	-0.04824	-0.08054	-0.03721	-0.09853	Hippocampus_guttulatus	6	-0.0187697	0.12962	0.00162526	0.000384113	0.236339	-0.031451	-0.006101	0.109894	0.149014	0.001551	0.0017	0.000365	0.000403	0.222634	0.250655	-0.346465	0.0341816	Hippocampus_guttulatus	Hippocampus_guttulatus	7	21	13.25	4.76285664168918	1.2	0.001454925645727	0.000742841405993	0.000305473323088	0.090566037735849	NA	NA	NA	55	NA	solitary	NA	carni	gonochoric	fast	NA	int	NA	214	2.46575342465753	NA	marine	0	3.75	invertebrate	Hippocampus	Hippocampinae	Syngnathidae	Syngnathoidea	NA	Syngnathiformes	Actinopterygii	Gnathostomata	Chordata	Chordata	1.2
Lepus_granatensis	4069	544.6058	461.04951	0.49575	0.08259	0.46877	0.06449	0.54972	0.17067	-0.06675	-0.09186	-0.09861	-0.11612	Lepus_granatensis	10	-0.0431106	0.022117	0.00397721	0.000512409	0.128836	-0.060454	-0.02481	0.000662	0.042612	0.003685	0.004283	0.000449	0.000583	0.113435	0.145887	-0.78716	-0.290882	Lepus_granatensis	Lepus_granatensis	18	43	45.9	2323.94	NA	800	0.344242966685887	0.344242966685887	0.689410276471614	NA	NA	NA	NA	NA	NA	NA	herbi	gonochoric	fast	56	int	NA	2.08	0.019831232876712	NA	terrestrial	0	3.315	vertebrate	Lepus	NA	Leporidae	NA	NA	Lagomorpha	Mammalia	Gnathostomata	Chordata	Chordata	31.6439316900471
Lineus_longissimus	15690	779.88375	696.88255	0.475	0.03738	0.45998	0.04625	0.50503	0.08279	-0.10437	-0.13284	-0.10578	-0.13451	Lineus_longissimus	6	-0.109293	-0.01569	0.0177877	0.0015871	0.0892245	-0.117199	-0.101112	-0.02393	-0.007974	0.017083	0.018505	0.001492	0.001685	0.082676	0.096202	-0.781206	-0.569098	Lineus_longissimus	Lineus_longissimus	NA	NA	1000	NA	0.02	NA	NA	NA	"0	00002"	NA	NA	NA	NA	NA	NA	NA	NA	NA	fast	NA	ext	NA	10000	27.3972602739726	NA	marine	0	NA	invertebrate	Lineus	NA	Lineidae	NA	NA	Heteronemertea	Anopla	NA	Nemertea	Nemertea	0.02
Maniola_jurtina	30325	436.89705	427.27601	0.40837	0.07394	0.40737	0.06997	0.41037	0.11916	-0.10574	-0.10931	-0.07772	-0.13351	Maniola_jurtina	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	5.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gonochoric	fast	8	int	NA	NA	NA	NA	terrestrial	NA	NA	invertebrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Melitaea_cinxia	12466	656.5969	489.76664	0.41122	0.06649	0.42697	0.05977	0.3797	0.12135	-0.03593	-0.14854	-0.00374	-0.17997	Melitaea_cinxia	10	0.384594	0.516966	0.0342226	0.00320756	0.0937264	0.371672	0.397675	0.503723	0.530338	0.033306	0.035155	0.003045	0.003372	0.088286	0.099353	-0.776025	-0.634848	Melitaea_cinxia	Melitaea_cinxia	1	NA	3.96	0.165	0.055610231616538	"0	00009"	0.000545454545455	0.000545454545455	0.014042987781954	NA	NA	NA	NA	NA	solitary	NA	herbi	gonochoric	fast	8	int	NA	200	95.2380952380952	NA	terrestrial	0	0.395	invertebrate	Melitaea	Nymphalinae	Nymphalidae	Papilionoidea	Glossata	Lepidoptera	Insecta	Hexapoda	Arthropoda	Arthropoda	0.0556102316165378
Microtus_arvalis	11410	911.39448	920.36433	0.51095	0.06313	0.48334	0.05713	0.56617	0.12043	-0.06329	-0.07568	-0.06263	-0.07699	Microtus_arvalis	7	0.298297	0.346856	0.00849582	0.00096359	0.113419	0.288049	0.308693	0.336379	0.357625	0.008258	0.008741	0.00092	0.001007	0.108323	0.118615	-1.05047	-0.730555	Microtus_arvalis	Microtus_arvalis	4.8	21	11.366	27.5	NA	8.9	0.323636363636364	0.323636363636364	0.686571498896641	NA	NA	NA	NA	NA	NA	0.1	herbi	gonochoric	fast	13	int	NA	5.1	0.076849315068493	palearctic	terrestrial	0	2.915	vertebrate	Microtus	Arvicolinae	Cricetidae	NA	Sciurognathi	Rodentia	Mammalia	Gnathostomata	Chordata	Chordata	7.80357165645922
Mytilus_galloprovincialis	28134	495.38793	420.23624	0.39229	0.03553	0.42973	0.05255	0.31741	0.05934	-0.13329	-0.1471	-0.15145	-0.18603	Mytilus_galloprovincialis	6	-0.0348511	0.0723712	0.0334238	0.00225418	0.0674425	-0.041304	-0.028233	0.065014	0.079813	0.032698	0.03415	0.00217	0.002341	0.064672	0.070266	-0.775709	-0.495116	Mytilus_galloprovincialis	Mytilus_galloprovincialis	25	NA	7.5	37.5	0.01	5.23333333e-07	2.68537e-10	1.3955556e-08	0.001333333333333	NA	NA	NA	NA	NA	NA	NA	detri	gonochoric	fix	0	ext	NA	40000000	109589.04109589	NA	marine	1	1.665	invertebrate	Mytilus	Mytilinae	Mytilidae	Mytiloidea	NA	Mytiloida	Bivalvia	NA	Mollusca	Mollusca	0.0099999999999975
Necora_puber	13844	874.19012	904.74835	0.51161	0.05935	0.48703	0.05929	0.56078	0.11711	-0.07579	-0.13537	-0.06457	-0.12786	Necora_puber	8	-0.0939942	-0.0107796	0.00591197	0.000522356	0.0883556	-0.100326	-0.087457	-0.017263	-0.0044	0.005716	0.006114	0.000497	0.000547	0.08376	0.093038	-0.939952	-0.708991	Necora_puber	Necora_puber	10	NA	6	90	0.18	NA	NA	NA	0.03	NA	NA	NA	NA	NA	NA	NA	omni	gonochoric	fast	1.8	int	NA	400000	1095.8904109589	NA	marine	0	NA	invertebrate	Necora	NA	Carcinidae	Portunoidea	Pleocyemata	Decapoda	Malacostraca	NA	Arthropoda	Arthropoda	0.18
Ophioderma_longicauda_L1	11880	493.04066	506.8733	0.43937	0.04452	0.44605	0.05461	0.42602	0.07604	-0.08654	-0.14124	-0.09439	-0.15858	Ophioderma_longicauda_L1	5	-0.115926	-0.00911235	0.0161113	0.0028924	0.179526	-0.131689	-0.099535	-0.026435	0.008384	0.01507	0.017178	0.002668	0.003127	0.16405	0.196429	-0.992068	-0.70129	Ophioderma_longicauda_L1	Ophioderma_longicauda	NA	NA	1.53	2.18	0.02	NA	NA	NA	0.013071895424837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.36	NA	NA	1500	4.10958904109589	NA	marine	0	NA	invertebrate	Ophioderma	Ophiodermatinae	Ophiodermatidae	NA	Ophiurina	Ophiurida	Ophiuroidea	Asterozoa	Echinodermata	Echinodermata	0.0200000000000006
Ostrea_edulis	4934	518.19133	418.49335	0.43564	0.04445	0.43468	0.04912	0.43756	0.08426	-0.09143	-0.14596	-0.09669	-0.15597	Ostrea_edulis	10	-0.061967	-0.000708434	0.00529649	0.000940557	0.177581	-0.080045	-0.044187	-0.021812	0.020398	0.004957	0.005654	0.000847	0.00104	0.158781	0.19831	-0.429405	-0.217328	Ostrea_edulis	Ostrea_edulis	34	NA	11	267.907623059048	0.018	3.05208e-06	4.381668e-09	1.1392285e-08	0.001636363636364	NA	NA	NA	0	10000	gregarious	NA	detri	hermaphrodite	fix	0	int	NA	2000000	5479.45205479452	NA	marine	1	1.17	invertebrate	Ostrea	NA	Ostreidae	Ostreoidea	NA	Ostreoida	Bivalvia	NA	Mollusca	Mollusca	0.018000000000004
Parus_caeruleus	3671	549.29256	469.19574	0.48899	0.06993	0.4662	0.05804	0.53458	0.14753	-0.06228	-0.05236	-0.07321	-0.06084	Parus_caeruleus	10	-0.0421463	0.0287238	0.00534488	0.000737193	0.137925	-0.053875	-0.030367	0.014163	0.043116	0.004985	0.005715	0.000666	0.000809	0.122844	0.153806	-1.70855	-0.597998	Parus_caeruleus	Parus_caeruleus	14.6	NA	11.5	10.3	NA	10.3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	gonochoric	fast	29	int	NA	9	0.024657534246575	NA	terrestrial	0	1.47	vertebrate	Parus	NA	Paridae	NA	NA	Passeriformes	Aves	Gnathostomata	Chordata	Chordata	11.5
Pectinaria_koreni_nord	3236	357.46075	258.52585	0.51185	0.0619	0.47454	0.06012	0.58646	0.12587	-0.14265	-0.14649	-0.14645	-0.14671	Pectinaria_koreni_nord	6	-0.0850937	-0.00263137	0.0132779	0.000738225	0.0555981	-0.106394	-0.062356	-0.025793	0.020995	0.011994	0.014605	0.000614	0.00087	0.045811	0.066449	-1.09943	-1.06794	Pectinaria_koreni_nord	Pectinaria_koreni	1.41666666666667	NA	2.5	0.2579	0.00625	1.27766927e-07	1.5625e-08	4.95412668e-07	0.0025	0.000155098875533	NA	NA	NA	NA	NA	1000	detri	gonochoric	slow	0	ext	NA	430000	1178.08219178082	palearctic	marine	0	1.35	invertebrate	Pectinaria	NA	Pectinariidae	NA	NA	Terebellida	Polychaeta	NA	Annelida	Annelida	0.00625
Physa_acuta	7668	576.84859	489.03979	0.44312	0.05968	0.44281	0.04949	0.44373	0.13546	-0.16654	-0.2019	-0.17199	-0.22154	Physa_acuta	9	0.135501	0.233858	0.0317507	0.00226422	0.0713124	0.123425	0.14773	0.221019	0.24709	0.030379	0.033155	0.002105	0.002429	0.066672	0.076283	-0.737943	-0.437758	Physa_acuta	Physa_acuta	1.5	11	0.85	0.0095	0.05	6.5416666667e-05	0.000203541624262	0.006885964912281	0.058823529411765	NA	NA	NA	NA	NA	NA	NA	detri	hermaphrodite	slow	0.004056	int	NA	100	14.2465753424658	nearctic	fresh	1	1.2	invertebrate	Physa	NA	Physidae	Planorboidea	NA	NA	Gastropoda	NA	Mollusca	Mollusca	0.0500000000000003
Pontia_daplidice	6986	962.92356	861.73467	0.44329	0.07549	0.45049	0.06356	0.42887	0.1345	-0.10032	-0.09619	-0.06007	-0.0986	Pontia_daplidice	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	5.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gonochoric	fast	8	int	NA	NA	NA	NA	terrestrial	NA	NA	invertebrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Reticulitermes_grassei	15557	761.36363	817.66066	0.44827	0.04707	0.4617	0.05257	0.42139	0.08708	-0.11131	-0.13472	-0.11612	-0.1299	Reticulitermes_grassei	9	0.212055	0.261382	0.00112279	0.000232282	0.206878	0.194938	0.229627	0.244998	0.277869	0.001055	0.001189	0.000216	0.000248	0.190513	0.224604	-0.319481	-0.0305115	Reticulitermes_grassei	Reticulitermes_grassei	30	NA	4.75	0.0155	NA	0.0155	1	1	1	1	NA	NA	NA	NA	NA	NA	detri	gonochoric	fast	2.48832	int	NA	10000	2.73972602739726	palearctic	terrestrial	0	1.02666666666667	invertebrate	Reticulitermes	Heterotermitinae	Rhinotermitidae	NA	NA	Isoptera	Insecta	Hexapoda	Arthropoda	Arthropoda	4.75
Sepia_officinalis	10384	683.98035	671.65142	0.42107	0.04417	0.43934	0.05474	0.38454	0.07914	-0.11611	-0.1449	-0.12469	-0.16729	Sepia_officinalis	9	0.127994	0.233154	0.00212886	0.000198153	0.0930791	0.112295	0.14382	0.217432	0.248669	0.002023	0.002234	0.000183	0.000213	0.085122	0.101265	-0.508909	0.0698005	Sepia_officinalis	Sepia_officinalis	2	60	22	1000	2	0.811666666666667	0.000125	0.000811666666667	0.090909090909091	0.125	NA	NA	NA	NA	NA	NA	carni	gonochoric	fast	2.34	int	NA	550	2.2	palearctic	marine	0	4.5	invertebrate	Sepia	NA	Sepiidae	NA	Sepiina	Sepiida	Cephalopoda	NA	Mollusca	Mollusca	2
Thymelicus_sylvestris	18854	767.20521	711.60991	0.47419	0.0877	0.45024	0.06179	0.52209	0.1786	-0.05922	-0.11793	-0.05059	-0.13004	Thymelicus_sylvestris	7	0.0382002	0.0931063	0.0227798	0.00148765	0.0653053	0.031069	0.0454	0.087967	0.098277	0.022421	0.023143	0.001447	0.001528	0.063395	0.067286	-0.802922	-0.262709	Thymelicus_sylvestris	Thymelicus_sylvestris	1	NA	2.72	NA	0.089881104304194	NA	NA	NA	0.033044523641248	NA	NA	NA	NA	NA	NA	NA	herbi	gonochoric	fast	8	int	NA	99	13.2	NA	terrestrial	0	NA	invertebrate	Thymelicus	Hesperiinae	Hesperiidae	Hesperioidea	Glossata	Lepidoptera	Insecta	Hexapoda	Arthropoda	Arthropoda	0.0898811043041946
